"","location","region","gdp_dif","gdp_dif_lower","gdp_dif_upper","gdp_dif002","gdp_dif002_lower","gdp_dif002_upper","gdp_dif003","gdp_dif003_lower","gdp_dif003_upper","gdp_dif005","gdp_dif005_lower","gdp_dif005_upper","gdp_dif_prop","gdp_dif_prop_lower","gdp_dif_prop_upper","gdp_dif_prop002","gdp_dif_prop002_lower","gdp_dif_prop002_upper","gdp_dif_prop003","gdp_dif_prop003_lower","gdp_dif_prop003_upper","gdp_dif_prop005","gdp_dif_prop005_lower","gdp_dif_prop005_upper","gdp_dif_perc","gdp_dif_perc_lower","gdp_dif_perc_upper","gdp_dif_perc002","gdp_dif_perc002_lower","gdp_dif_perc002_upper","gdp_dif_perc003","gdp_dif_perc003_lower","gdp_dif_perc003_upper","gdp_dif_perc005","gdp_dif_perc005_lower","gdp_dif_perc005_upper","inc","dea","pop","gdp_pc","le","gdp_sq","gdp_sq002","gdp_sq003","gdp_sq005","pop_m"
"155","Saint Vincent and the Grenadines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0157427360557796,8.87428170953939e-05,105135,14154.723707614,72.835,70636517614.3832,51229105883.3022,44227400098.5048,33835084536.639,"103847.35483871"
"156","Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0136423312061913,4.5847903794071e-05,210752,6380.9759812481,72.157,58740624406.7174,42214218241.7967,36288249951.1696,27544800526.4897,"264944.935483871"
"157","San Marino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0523939499421314,0.000131884748039633,34163,60102.3890173579,NA,87194409131.5178,64154285600.4417,55786047678.0874,43282989779.4039,"33223.2580645161"
"158","Sao Tome and Principe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0201375311369574,7.00397293984854e-05,212976,3508.5597142401,68.523,40045560840.4493,28524661874.952,24411909037.0281,18370208297.4038,"288896.516129032"
"159","Saudi Arabia","Middle East and north Africa",238055517590.519,231440000330.509,249198661677.278,155894072624.005,151308212669.662,163619478069.413,127528558529.853,123664850671.334,134038274152.539,87202581725.1069,84396481038.9892,91932292161.7313,0.00327196189961083,0.00318103470481166,0.00342511921040446,0.00297402314413527,0.00288653775479097,0.00312140228566226,0.00282741277740769,0.00274175120408418,0.00297173851386275,0.00254479132033088,0.00246290222337137,0.00268281620249254,5630.74616213641,5474.26880425209,5894.31583880561,3687.37494518964,3578.90523358888,3870.10457692833,3016.44317583067,2925.05458540365,3170.41799914095,2062.60962714434,1996.23670359755,2174.48184568644,0.0832330688745113,2.76394784171298e-05,35424752,47424.4675022707,77.304,72756200987191.7,53466952464729.2,46457459743879.6,35980439763311,"42277792.4516129"
"160","Senegal","Sub-Saharan Africa",1138506291.73881,879362017.892502,1489878656.1888,735320967.709451,566713541.561985,963936786.350392,597217321.361561,459709033.977662,783662967.486269,402397344.668237,308893804.754178,529168531.877905,0.000233606254956633,0.000180433317972478,0.000305703161886376,0.000223486386728241,0.000172241466346567,0.000292969681099864,0.00021797070530077,0.000167783315696201,0.000286019115037795,0.000206206288049084,0.000158290917481656,0.000271169480009592,47.9167964166311,37.0100816250382,62.7051539127204,30.9477649498113,23.8515128063986,40.5696157194797,25.1353383040704,19.34796878316,32.9823551655059,16.9358674457676,13.0005443660386,22.2713400848717,0.00985625515242578,6.55307220564809e-05,15786096,3477.13717951544,68.526,4873612189665.74,3356031649371.44,2822094098166.11,2049002559034.84,"23760066.9677419"
"161","Serbia","Europe and central Asia",5615636969.95804,5373336673.008,5897598975.16017,3718305399.76716,3549658619.37297,3914036028.53335,3059099912.43179,2916675208.29813,3224184274.8496,2116217011.72042,2012220027.77154,2236464615.21042,0.000805628437601537,0.000770867641861618,0.000846079166686983,0.000760489899176466,0.000725997258247497,0.000800521889594861,0.000736721041072545,0.000702420992264924,0.000776478200638008,0.000687867109991689,0.00065406334393151,0.000726953069058264,851.949195010705,815.18977768338,894.725696526142,564.104714938376,538.519284547022,593.799040356556,464.096543597093,442.48926864584,489.141518979781,321.051625888246,305.274226595383,339.294409305928,0.0378872492068592,7.79889587361456e-05,7418048,17120.406877928,75.93658537,6970504897613.27,4987142514147.24,4276887361894.25,3230315608974.66,"6591516.25806452"
"162","Seychelles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0144786849983198,4.65368555906261e-05,103739,27469.4460135532,74.04634146,162461851365.725,115099377113.444,98217385787.1814,73455293397.4598,"112394.741935484"
"163","Sierra Leone","Sub-Saharan Africa",211155621.859106,173143045.883492,261993653.970095,137061160.316277,112032064.538436,170531795.580135,111612114.676267,91068509.2876241,139082748.009927,75615162.147653,61455570.707834,94546369.1928716,0.000248015685551633,0.000203367501396413,0.000307728182311563,0.000233584474771774,0.000190929004923215,0.000290626314636144,0.000225977191532638,0.000184383263640978,0.000281596033522766,0.000210296392759308,0.000170916579000198,0.000262946740111802,19.367123342831,15.8806225288026,24.0299707239787,12.5712039963022,10.2755436637896,15.6411195202686,10.2370260022336,8.3527733549904,12.7566233465736,6.9353974997593,5.63668448665255,8.67176150771389,0.00964482323494626,5.17208567638425e-05,7953448,1675.28420755376,60.255,851380110856.524,598508884887.14,508726023794.094,377542948850.802,"10902787.0645161"
"164","Singapore","East Asia and Pacific",28414204063.4521,28264699826.8143,28570092538.4927,18893672526.673,18788797375.1936,19002892705.8228,15580429287.0922,15491438576.5452,15673052801.6248,10832817901.1123,10767115293.4218,10901127473.671,0.000999707279809593,0.000994447217856233,0.00100519196074553,0.000943900778197301,0.000938661366063148,0.000949357261681325,0.000914605982530363,0.000909382029149095,0.000920043189615837,0.000854564562981329,0.000849381505282002,0.000859953275369365,4537.18761983979,4513.31474379259,4562.07993276365,3016.94662605704,3000.20013413143,3034.38693315022,2487.88706927431,2473.6770090779,2502.67721657194,1729.78722751294,1719.29581773989,1740.69491812562,0.033525100816535,3.5499397679515e-05,5839291,96244.5611975838,83.59512195,28422523910062.9,20416919259259.4,17546181057450.3,13310239259729.8,"6262514.67741936"
"165","Slovakia","Europe and central Asia",12732739979.072,12058099481.2811,13568534946.5851,8424250518.62781,7961150522.63739,8997509785.03396,6928482771.07802,6540066093.2455,7409095285.7666,4790481090.7097,4510642268.56781,5136454438.12936,0.00155198545358585,0.00146975395897493,0.00165385996244197,0.00145097302418572,0.00137120977400734,0.00154970984707347,0.00139881778417597,0.00132039886122061,0.00149585047590038,0.00129362524062309,0.00121805734738351,0.00138705215251988,2331.13367776837,2207.61924274718,2484.15257234106,1542.32742726301,1457.54222010398,1647.28079819563,1268.47949067087,1197.36744407363,1356.47092227075,877.050173145831,825.816761977912,940.39161600148,0.0627533908094813,0.000147631879907479,5450296,32108.347876886,77.66585366,8204161933124.49,5922050503883.47,5101691825010.87,3888301640452.23,"5462037.67741936"
"166","Slovenia","Europe and central Asia",5403687869.62433,5353238388.19331,5459590244.31265,3598333435.35886,3562351895.4596,3638059107.74687,2969200865.82554,2938411399.18661,3003128164.07166,2066650989.02958,2043537162.34644,2092017707.14725,0.0012162649339025,0.00120490973784407,0.0012288474700696,0.00116126723740157,0.00114965514414038,0.0011740876507003,0.00113141635792443,0.0011196840071064,0.00114434438197886,0.00106833810545278,0.00105638960425954,0.00108145122020667,2596.89668018256,2572.65173968894,2623.76216441204,1729.2819973932,1711.99003979559,1748.37330489124,1426.93435618323,1412.13759781592,1443.23908923012,993.188211827646,982.080201663481,1005.37891337375,0.0787051750647468,0.000326917022010884,2109551,38669.331694754,81.52926829,4442854281991.1,3160599029968.87,2703051684183.43,2031176766423.95,"2080825.12903226"
"167","Solomon Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0253549030985952,4.34563841824438e-05,667089,2647.91482845617,70.382,78539432553.9575,56471851769.5219,48559082665.5743,36884177487.5058,"940787.64516129"
"168","Somalia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00679568716428955,3.91178185153327e-05,15689740,1575.6514262824,57.078,1658989526916.73,1154432085914.67,976271080917.111,717366269016.445,"25594333.8387097"
"169","South Africa","Sub-Saharan Africa",4569447423.90027,4285255392.88708,5007883132.28821,3095034634.91406,2893712536.91744,3406063688.01261,2577055559.47744,2405517014.79279,2842270030.47159,1827822594.97089,1700350720.13738,2025213918.55635,0.000158249718999898,0.000148407542281851,0.000173433683539901,0.000147208830724792,0.00013763336739691,0.000162002275267085,0.000141685323705328,0.000132254213793009,0.000156266692754959,0.000130866711167318,0.000121740100591603,0.000144999348219551,68.5727413866709,64.3079310411376,75.152254324869,46.446537166106,43.4253385657814,51.1140850867391,38.673333562134,36.0990905144995,42.6533516352955,27.4297512320798,25.5168074784626,30.391961523285,0.00841594840189773,1.94199383905263e-05,57707967,13949.5470356805,66.175,28874916510298.7,21445284987788.9,18734242593694.6,14665408090416.8,"66636499.1612903"
"170","South Sudan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00728700904691354,5.38313137802398e-05,10349891,425.947000021546,55.912,83168002342.6627,69075531329.0457,63468948627.4531,54358346534.9177,"13786876.1612903"
"171","Spain","Europe and central Asia",112899224774.2,112275844935.399,113544150447.221,74154765942.8569,73712190790.73,74610893429.7387,60758640339.6189,60380652958.8032,61147398805.0091,41687175848.4897,41404258226.9239,41976894168.8772,0.0013760641485137,0.00136846612781165,0.00138392477907937,0.00126954590878298,0.00126196892480133,0.00127735491171747,0.0012157191776828,0.00120815603102233,0.00122349784289354,0.00110938106179675,0.00110185204489825,0.00111709105920846,2431.43965444647,2418.01431461022,2445.32901337422,1597.02459286383,1587.49312994098,1606.84792390357,1308.52065430444,1300.38017762328,1316.89310106519,897.790508682608,891.697489661506,904.029990080453,0.0528483022957168,0.00010727137843847,46932790,40909.5645070323,83.83170732,82045030310646,59578673554406.9,51476854769281.1,39455815632927.9,"46433077.0322581"
